name,address,tel,category_no,category,genre,ticket_type,geocode_address,note,contact
セブンイレブン銀座１丁目店,銀座1-26-1,03-3563-3910,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座1-26-1,,
セブンイレブン銀座２丁目店,銀座2-15-2,03-3248-1712,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座2-15-2,,
ローソンＨ銀座三丁目店,銀座3-8-1,03-3563-3731,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座3-8-1,,
セブンイレブン銀座３丁目店,銀座3-15-10,03-3546-1711,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座3-15-10,,
ローソン銀座四丁目昭和通店,銀座4-11-2,03-3541-4720,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座4-11-2,,
セブンイレブン歌舞伎座店,銀座4-12-15,03-3547-7500,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座4-12-15,,
セブンイレブン銀座地下街店,銀座5-4-3　対鶴館ビル地下2階,03-3571-7772,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座5-4-3,,
セブンイレブン銀座6丁目中央店,銀座6-13-16　ヒューリック銀座ウォールビル,03-3541-0711,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座6-13-16,,
セブンイレブン銀座７丁目店,銀座7-2-18　GRANBELL SQUERE1階,03-3573-5527,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座7-2-18,,
ナチュラルローソン銀座並木通店,銀座7-5-10,03-3572-0061,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座7-5-10,,
セブン－イレブン銀座7丁目中央店,銀座7丁目12-9,03-5565-8686,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座7丁目12-9,,
セブンイレブン銀座７丁目東店,銀座7-15-5,03-3546-1577,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座7-15-5,,
ローソン銀座八丁目店,銀座8-4-9,03-3572-5701,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座8-4-9,,
ナチュラルローソン銀座三井ビル店,銀座8-13-1,03-3543-8889,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区銀座8-13-1,,
ファミリーマート茅場町駅東店,新川1-2-8　山京ビル,03-3523-5384,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新川1-2-8,,
セブンイレブン新川１丁目中央店,新川1-3-10　旭ビルディング,03-3552-7603,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新川1-3-10,,
セブンイレブン中央区新川１丁目店,新川1-21-5　茅場町タワービル1階,03-3555-5868,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新川1-21-5,,
ナチュラルローソン新川一丁目店,新川1-24-1,03-3523-5430,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新川1-24-1,,
ファミリーマート新川２丁目店,新川2-6-2,03-5540-7088,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新川2-6-2,,
セブンイレブン中央区新川２丁目店,新川2-12-8,03-3551-1977,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新川2-12-8,,
ローソンＨ新川二丁目店,新川2-16-10,03-3523-6721,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新川2-16-10,,
セブンイレブン東京住友ツインビル西館店,新川2-27-2　東京住友ツインビル西館1F,03-5541-7558,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新川2-27-2,,
ファミリーマート新川中央大橋店,新川2-28-1,03-3523-9019,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新川2-28-1,,
ローソン新富一丁目店,新富1-7-17,03-3555-2524,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新富1-7-17,,
セブンイレブン中央区役所前店,新富2-2-8　松竹衣裳ビル1階,03-3551-2721,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区新富2-2-8,,
セブンイレブン中央区月島１丁目店,月島1-2-13,03-3532-1332,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区月島1-2-13,,
セブンイレブン月島駅前店,月島1-5-2,03-3533-1050,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区月島1-5-2,,
ローソン月島駅前店,月島2-1-2,03-3536-3157,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区月島2-1-2,,
ファミリーマート月島３丁目店,月島3-31-1,03-3533-8750,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区月島3-31-1,,
ローソンＨ月島四丁目店,月島4-4-1,03-3534-1739,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区月島4-4-1,,
ローソンＨ月島勝どき店,月島4-16-1,03-3533-7203,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区月島4-16-1,,
ローソン新富町メトロピア店,築地1-1-1,03-3524-3855,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区築地1-1-1,,
セブンイレブン中央区築地２丁目店,築地2-7-12　山京ビル1F,03-5565-8717,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区築地2-7-12,,
ローソン築地二丁目店,築地2-15-13,03-5565-0828,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区築地2-15-13,,
ローソンＨ築地三丁目店,築地3-1-10,03-3248-6866,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区築地3-1-10,,
セブンイレブン築地日刊スポーツ本社店,築地3-5-10,03-3547-7517,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区築地3-5-10,,
ファミリーマート築地本願寺前店,築地3-11-8,03-3541-0070,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区築地3-11-8,,
ローソン築地四丁目店,築地4-8-1,03-3546-3963,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区築地4-8-1,,
セブンイレブン築地７丁目店,築地7-8-10,03-3546-7177,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区築地7-8-10,,
セブンイレブン中央区佃２丁目店,佃2-10-9,03-3533-0921,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区佃2-10-9,,
ファミリーマート佃二丁目店,佃2-12-12　ハーモニーコート1階,03-3533-3892,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区佃2-12-12,,
ファミリーマート豊海町店,豊海町5-1　豊海センタービル1階,03-5547-5235,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区豊海町5-1,,
ナチュラルローソン日本橋二丁目店,日本橋2-1-21,03-5201-5515,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋2-1-21,,
ローソン日本橋二丁目中央通り,日本橋2-1-14,03-6262-2013,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋2-1-14,,
ファミリーマート八重洲さくら通り店,日本橋2-3-18,03-3548-8300,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋2-3-18,,
セブンイレブン日本橋２丁目店,日本橋2-3-21,03-5201-5518,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋2-3-21,,
ローソン日本橋三丁目店,日本橋3-5-11,03-3275-2250,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋3-5-11,,
ローソン日本橋蛎殻町一丁目店,日本橋蛎殻町1-11-5,03-5695-5665,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋蛎殻町1-11-5,,
セブンイレブン日本橋蛎殻町店,日本橋蛎殻町1-16-8　水天宮平和ビル1F,03-3639-0432,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋蛎殻町1-16-8,,
ファミリーマート日本橋かきがら町店,日本橋蛎殻町1-36-9　ブロードシティ東京１Ｆ,03-5645-1990,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋蛎殻町1-36-9,,
セブンイレブン水天宮前店,日本橋蛎殻町1-38-11,03-3249-1369,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋蛎殻町1-38-11,,
セブンイレブン日本橋浜町店,日本橋蛎殻町2-14-4,03-3666-5980,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋蛎殻町2-14-4,,
ローソン日本橋かぶと町,日本橋兜町1-13先,03-6231-0504,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋兜町1-13,address_approx,
セブンイレブン日本橋兜町店,日本橋兜町15-13,03-5695-5677,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋兜町15-13,,
セブンイレブン茅場町駅前店,日本橋茅場町1-9-2,03-3669-0717,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋茅場町1-9-2,,
セブンイレブン日本橋茅場町２丁目店,日本橋茅場町2-9-5,03-3663-1003,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋茅場町2-9-5,,
ローソン日本橋茅場町店,日本橋茅場町2-13-11,03-3669-8163,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋茅場町2-13-11,,
セブンイレブン日本橋小網町店,日本橋小網町1-3　大島ビル1F,03-5695-3990,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋小網町1-3,,
セブンイレブン小伝馬町駅前店,日本橋小伝馬町2-4,03-3662-1755,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋小伝馬町2-4,,
セブンイレブン日本橋小伝馬町店,日本橋小伝馬町10-11　日本橋府川ビル1F,03-3664-7099,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋小伝馬町10-11,,
セブンイレブン人形町駅西,日本橋人形町1-3-6,03-3639-5610,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋人形町1-3-6,,
セブンイレブン人形町２丁目店,日本橋人形町2-26-5,03-5695-0107,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋人形町2-26-5,,
セブンイレブン人形町甘酒横丁店,日本橋人形町2-31-13,03-3639-7702,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋人形町2-31-13,,
セブンイレブン日本橋人形町３丁目店,日本橋人形町3-1-2,03-3664-0576,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋人形町3-1-2,,
セブンイレブン日本橋Ｔ－ＣＡＴ店,日本橋箱崎町22-1,03-3665-7211,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋箱崎町22-1,,
ローソン日本橋箱崎店,日本橋箱崎町27-2,03-6231-1977,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋箱崎町27-2,,
セブンイレブンＴ－ＣＡＴ２階店,日本橋箱崎町42-1,03-3665-7155,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋箱崎町42-1,,
ローソン日本橋浜町二丁目店,日本橋浜町2-15-5,03-3669-9701,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋浜町2-15-5,,
Ｙショップ上総屋,日本橋浜町2-55-5-104,03-3666-6044,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋浜町2-55-5-104,,
セブンイレブン日本橋久松町店,日本橋久松町10-6,03-3668-3711,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋久松町10-6,,
デイリーヤマザキ日本橋堀留町店,日本橋堀留町1-2-16,03-3249-1060,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋堀留町1-2-16,,
セブンイレブン日本橋堀留町２丁目店,日本橋堀留町2-3-3,03-5641-6115,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋堀留町2-3-3,,
セブンイレブン日本橋本石町３丁目店,日本橋本石町3丁目3-10,03-3273-0390,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋本石町3丁目3-10,,
セブンイレブン日本橋本町３丁目店,日本橋本町3-7-2,03-3662-6130,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋本町3-7-2,,
デイリーヤマザキ日本橋室町１丁目店,日本橋室町1-10-8,03-3272-6488,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋室町1-10-8,,
セブンイレブン日本橋室町３丁目,日本橋室町3-4-4　OVOL日本橋ビル1階,03-5202-2021,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋室町3-4-4,,
ＪＲ新日本橋駅構内ニューデイズ売店,日本橋室町4-4-10,03-3517-5487,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区日本橋室町4-4-10,,
ローソンＨ八丁堀一丁目,八丁堀1-5-1,03-6262-8820,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区八丁堀1-5-1,,
セブンイレブン八丁堀１丁目店,八丁堀1-12-8,03-5541-0477,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区八丁堀1-12-8,,
セブンイレブン八丁堀二丁目店,八丁堀2-10-9,03-3297-3050,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区八丁堀2-10-9,,
ファミリーマート八丁堀二丁目店,八丁堀2-20-1　藤和ビル1F,03-5566-8095,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区八丁堀2-20-1,,
ローソン八丁堀二丁目店,八丁堀2-24-2,03-3551-3880,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区八丁堀2-24-2,,
ローソンＨ八丁堀四丁目店,八丁堀4-13-1,03-3206-3120,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区八丁堀4-13-1,,
ローソン東日本橋二丁目店,東日本橋2-4-3,03-5833-3608,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区東日本橋2-4-3,,
ローソン東日本橋京葉道路店,東日本橋2-24-14,03-5829-6738,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区東日本橋2-24-14,,
ローソン晴海トリトンスクエア店,晴海1-8-16　晴海トリトンスクエア2F,03-5144-8231,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区晴海1-8-16,,
セブンイレブン晴海ウェーブガーデン,晴海3-2-4,03-3532-3177,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区晴海3-2-4,,
ローソン中央晴海三丁目店,晴海3-3-3,03-3532-2212,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区晴海3-3-3,,
セブンイレブンベイシティ晴海店,晴海3-6-8,03-5546-3971,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区晴海3-6-8,,
セブンイレブン晴海３丁目店,晴海3-12-1　KDX晴海ビル1F,03-5546-0560,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区晴海3-12-1,,
ローソン八重洲一丁目店,八重洲1-3-7,03-3243-3963,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区八重洲1-3-7,,
セブンイレブン八重洲１丁目店,八重洲1-3-18　ＶＯＲＴ東京八重洲１Ｆ,03-5201-2585,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区八重洲1-3-18,,
ローソンヤエチカ店,八重洲2-1　八重洲地下街中3号,03-3231-6300,1,コンビニ、雑貨,コンビニエンスストア,all,東京都中央区八重洲2-1,,
Sato tailor銀座店,入船2-3-6　細矢ビル1F,03-3552-7353,2,織物、衣類、身の回り品小売業,テーラー,all,東京都中央区入船2-3-6,,
ナノビジョン,勝どき1-8-1　勝どきビュータワー2階,03-5547-8010,2,織物、衣類、身の回り品小売業,コンタクトレンズ販売,all,東京都中央区勝どき1-8-1,,
ダンカン八重洲店,京橋1-4-13　セントラル京橋ビル1F,03-6225-2786,2,織物、衣類、身の回り品小売業,オーダースーツ・シャツの小売り,all,東京都中央区京橋1-4-13,,
グリマロンドン銀座店,銀座1-6-11,03-3562-8880,2,織物、衣類、身の回り品小売業,衣類・その他洋品,all,東京都中央区銀座1-6-11,,
銀座タニザワ,銀座1-7-6　タニザワビル1階,03-3567-7553,2,織物、衣類、身の回り品小売業,鞄,all,東京都中央区銀座1-7-6,,
銀座タカゲン,銀座1-9-18,03-6263-9515,2,織物、衣類、身の回り品小売業,杖・ステッキ専門店,all,東京都中央区銀座1-9-18,,
ＪＵＮ ＧＩＮＺＡ,銀座1-21-13　GINZA HOUSE 1F・2F,03-6263-0897,2,織物、衣類、身の回り品小売業,メガネ販売,all,東京都中央区銀座1-21-13,,
ギンザメガネセンター銀座本店,銀座2-11-10　第2銀座ヤマトビル,03-3546-1526,2,織物、衣類、身の回り品小売業,メガネ販売,all,東京都中央区銀座2-11-10,,
アレグレット銀座本店,銀座2-11-11,03-6264-2283,2,織物、衣類、身の回り品小売業,セレクトショップ,all,東京都中央区銀座2-11-11,,
i-deux,銀座2-13-20　東武ハイライン101,03-6281-5702,2,織物、衣類、身の回り品小売業,ヨーロッパ雑貨店,all,東京都中央区銀座2-13-20,,
銀座橘苑,銀座3-9-4　第一文成ビル3F,03-3543-5298,2,織物、衣類、身の回り品小売業,呉服,all,東京都中央区銀座3-9-4,,
紺屋廣瀬,銀座3-13-2　登栄東銀座ビル1F,03-3541-7879,2,織物、衣類、身の回り品小売業,藍染、草木染製品小売業,all,東京都中央区銀座3-13-2,,
ＷＡＳＨ 西銀座デパート１Ｆ店,銀座4-1先　西銀座デパート1F,03-3566-4707,2,織物、衣類、身の回り品小売業,婦人靴・バッグ,all,東京都中央区銀座4-1,address_approx,
銀座ワシントン 西銀座デパート１Ｆ店,銀座4-1先　西銀座デパート1F,03-3566-4056,2,織物、衣類、身の回り品小売業,婦人靴・バッグ,all,東京都中央区銀座4-1,address_approx,
リーガルシューズ銀座数寄屋橋店,銀座4-2-12　銀座クリスタルビル1F,03-5250-7426,2,織物、衣類、身の回り品小売業,靴,all,東京都中央区銀座4-2-12,,
銀座かねまつ４丁目店,銀座4-6-10,03-3563-0077,2,織物、衣類、身の回り品小売業,婦人靴・ハンドバッグ,all,東京都中央区銀座4-6-10,,
やまと屋,銀座4-6-11　銀座センタービル1階,03-3561-0795,2,織物、衣類、身の回り品小売業,靴・サンダル・傘,all,東京都中央区銀座4-6-11,,
銀座いさみや,銀座4-6-16,03-3563-1338,2,織物、衣類、身の回り品小売業,子供服,all,東京都中央区銀座4-6-16,,
銀座モトキ四丁目店,銀座4-6-17,03-3535-3307,2,織物、衣類、身の回り品小売業,紳士洋品,all,東京都中央区銀座4-6-17,,
MANDARIN MTM CLOTHING,銀座4丁目13-1　松戸ビル1階,03-6281-5135,2,織物、衣類、身の回り品小売業,紳士服店,all,東京都中央区銀座4丁目13-1,,
コーディネイトショップチップス,銀座5-1　銀座ファイブ,03-3571-5047,2,織物、衣類、身の回り品小売業,婦人服,all,東京都中央区銀座5-1,,
メガネスーパーＧＩＮＺＡ５店,銀座5-1　GINZA5-1階,03-6263-8756,2,織物、衣類、身の回り品小売業,眼鏡・コンタクトレンズ,all,東京都中央区銀座5-1,,
銀座ペピアン,銀座5-1先　銀座ファイブ1F,03-6263-0508,2,織物、衣類、身の回り品小売業,婦人服,all,東京都中央区銀座5-1,address_approx,
株式会社ぎおん石,銀座5-6-5すずらん通り,03-3569-7775,2,織物、衣類、身の回り品小売業,ぎおん石 銀座店,all,東京都中央区銀座5-6-5すずらん通り,,
銀座大黒屋,銀座5-7-6,03-3571-0008,2,織物、衣類、身の回り品小売業,ハンドバッグと婦人服,all,東京都中央区銀座5-7-6,,
銀座ワシントン 銀座本店,銀座5-7-7,03-3572-5911,2,織物、衣類、身の回り品小売業,紳士靴・婦人靴・バッグ,all,東京都中央区銀座5-7-7,,
ジーユー銀座店,銀座5-7-7,03-6255-6141,2,織物、衣類、身の回り品小売業,アパレル,all,東京都中央区銀座5-7-7,,
銀座トリヰ,銀座5-7-16,03-3574-8701,2,織物、衣類、身の回り品小売業,婦人服･服飾小物,all,東京都中央区銀座5-7-16,,
マドラス銀座店,銀座5-8-5,03-3571-1200,2,織物、衣類、身の回り品小売業,紳士靴・婦人靴,all,東京都中央区銀座5-8-5,,
銀座山形屋 銀座店,銀座5-9-1,03-3571-2986,2,織物、衣類、身の回り品小売業,紳士服・婦人服オーダー,all,東京都中央区銀座5-9-1,,
ゑり菊,銀座5-9-16,03-3571-0341,2,織物、衣類、身の回り品小売業,呉服 和装小物,all,東京都中央区銀座5-9-16,,
銀座藤屋,銀座5-9-18　丸江ビル1階,03-3571-2321,2,織物、衣類、身の回り品小売業,呉服,all,東京都中央区銀座5-9-18,,
ボンジュール,銀座5-13-2　長岡ビルB1,03-3541-2905,2,織物、衣類、身の回り品小売業,アクセサリーと夢小物,all,東京都中央区銀座5-13-2,,
岩崎眼鏡店,銀座6-9-4,03-3571-0319,2,織物、衣類、身の回り品小売業,眼鏡,all,東京都中央区銀座6-9-4,,
銀座ヨシノヤ銀座六丁目本店,銀座6-9-6,03-3572-0391,2,織物、衣類、身の回り品小売業,靴,all,東京都中央区銀座6-9-6,,
銀座かねまつ６丁目本店,銀座6-9-9,03-3573-0077,2,織物、衣類、身の回り品小売業,婦人靴・ハンドバッグ,all,東京都中央区銀座6-9-9,,
東京真珠,銀座6-16-3,03-3541-5555,2,織物、衣類、身の回り品小売業,宝飾品,all,東京都中央区銀座6-16-3,,
ボンボンウォッチ銀座店,銀座7-6-12　第五ポールスタービル,03-3289-0016,2,織物、衣類、身の回り品小売業,衣類・その他洋品,all,東京都中央区銀座7-6-12,,
テーラーフクオカ 銀座店,銀座8-6-15　銀座グランドホテル1階,03-3289-1529,2,織物、衣類、身の回り品小売業,服飾,all,東京都中央区銀座8-6-15,,
銀座大和屋,銀座8-7先　銀座ナイン2号館1階,03-3571-0744,2,織物、衣類、身の回り品小売業,ハンドバッグ・小物・財布,all,東京都中央区銀座8-7,address_approx,
婦人洋品たけや,銀座8-7先　銀座ナイン2号館1階,03-3571-3797,2,織物、衣類、身の回り品小売業,婦人洋品,all,東京都中央区銀座8-7,address_approx,
銀座ぜん屋,銀座8-8-1,03-3571-3468,2,織物、衣類、身の回り品小売業,履物・傘,all,東京都中央区銀座8-8-1,,
メガネの田中チェーン㈱アイアイ銀座店,銀座8-8-7,03-3571-9037,2,織物、衣類、身の回り品小売業,メガネ,all,東京都中央区銀座8-8-7,,
伊勢由本店,銀座8-8-19,03-3572-2738,2,織物、衣類、身の回り品小売業,呉服,all,東京都中央区銀座8-8-19,,
銀座いせよし,銀座8-10-3　銀座美鈴ビル6F,03-6228-5875,2,織物、衣類、身の回り品小売業,呉服,all,東京都中央区銀座8-10-3,,
アシックス商事㈱アシックスウォーキング銀座インズ店,銀座西2−2先　銀座インズ2 1階,03-3562-5355,2,織物、衣類、身の回り品小売業,靴,all,東京都中央区銀座西2-2,address_approx,
なかや,新富1-19-6,03-3551-2493,2,織物、衣類、身の回り品小売業,呉服店,all,東京都中央区新富1-19-6,,
大野屋總本店,新富2-2-1,03-3551-0896,2,織物、衣類、身の回り品小売業,足袋・和装雑貨,all,東京都中央区新富2-2-1,,
赤ちゃん屋洋品店,月島1-10-5,03-3533-2468,2,織物、衣類、身の回り品小売業,婦人服,all,東京都中央区月島1-10-5,,
なかや洋品店,月島1-22-1-119,03-3531-1843,2,織物、衣類、身の回り品小売業,洋品,all,東京都中央区月島1-22-1-119,,
㈱あさひや,月島3-4-7,03-3533-6331,2,織物、衣類、身の回り品小売業,婦人服・呉服,all,東京都中央区月島3-4-7,,
あづまや,月島3-17-10,03-3531-0926,2,織物、衣類、身の回り品小売業,和装履物,all,東京都中央区月島3-17-10,,
呉服せすみ,築地6-8-5,03-3541-0987,2,織物、衣類、身の回り品小売業,呉服・和装小物,all,東京都中央区築地6-8-5,,
フィットちゃんランドセル／HUGLM東京八重洲ショールーム,日本橋3-4-16　東和八重洲ビル（旧：春陽堂ビル）8階,03-6262-1335,2,織物、衣類、身の回り品小売業,ランドセル・抱っこ紐,all,東京都中央区日本橋3-4-16,,
Ｔａｎｇｏ２４５,日本橋蛎殻町1-30-11　ヨートービル5F,070-6479-9888,2,織物、衣類、身の回り品小売業,紳士服・靴・鞄ほか洋品,all,東京都中央区日本橋蛎殻町1-30-11,,
エルベート ロイヤルパークホテル店,日本橋蛎殻町２丁目1-1　ロイヤルパークホテルB2F,03-5623-5255,2,織物、衣類、身の回り品小売業,婦人服,all,東京都中央区日本橋蛎殻町2丁目1-1,,
竺仙,日本橋小舟町2-3,03-5202-0991,2,織物、衣類、身の回り品小売業,着物、浴衣、帯、和小物販売,all,東京都中央区日本橋小舟町2-3,,
伊場仙,日本橋小舟町4-1,03-3664-9261,2,織物、衣類、身の回り品小売業,扇子・団扇・紙製品,all,東京都中央区日本橋小舟町4-1,,
YOUTA,日本橋小網町7-8　日本橋ウィンテルビル１F,03-6206-2793,2,織物、衣類、身の回り品小売業,鞄店,all,東京都中央区日本橋小網町7-8,,
ＨＡＲＩＯ ランプワークファクトリー,日本橋大伝馬町2-10　イワサキ第三ビル,03-5623-2143,2,織物、衣類、身の回り品小売業,アクセサリーショップ,all,東京都中央区日本橋大伝馬町2-10,,
立花屋呉服店,日本橋人形町1-14-6,03-3666-3644,2,織物、衣類、身の回り品小売業,呉服,all,東京都中央区日本橋人形町1-14-6,,
東京メガネ日本橋人形町店,日本橋人形町1-18-9　A.Tビル102,03-3661-2906,2,織物、衣類、身の回り品小売業,メガネの販売,all,東京都中央区日本橋人形町1-18-9,,
マタニティーショップジョリー,日本橋人形町2-3-2,03-3666-7219,2,織物、衣類、身の回り品小売業,マタニティー,all,東京都中央区日本橋人形町2-3-2,,
ヒラマツ靴店,日本橋人形町2-3-4,03-3666-8979,2,織物、衣類、身の回り品小売業,靴,all,東京都中央区日本橋人形町2-3-4,,
